tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,234,0,1,0.85,1002,8,100,50
20,42,104,284,0.37,1,0.82,1112,17,104,50
40,40,100,329,0.52,1,0.85,1140,13,100,50
60,42,99,404,0.73,1,0.85,1051,9,99,50
80,44,99,488,0.9,1.11,0.99,938,10,98,56
100,48,105,565,0.92,1.29,1.22,811,12,105,74
120,51,117,632,0.95,1.57,1.61,651,12,116,106
140,56,144,725,0.92,1.84,1.67,470,16,144,134
160,70,166,820,0.87,1.82,1.55,273,20,164,141
180,86,192,901,0.87,1.93,1.34,137,27,192,148
200,97,224,882,0.9,2.13,1.52,133,30,222,177
220,118,252,941,0.89,2.03,1.12,127,34,252,165
240,141,277,983,0.89,2.19,1.18,131,41,276,189
260,167,307,1021,0.88,2.25,1.15,112,46,305,202
280,200,339,1052,0.89,2.36,1.12,105,53,336,218
300,232,388,1083,0.9,2.46,1.02,92,61,383,232
320,284,425,1089,0.89,2.47,0.96,89,69,422,235
340,334,459,1089,0.9,2.53,0.92,74,75,459,251
360,409,483,1089,0.88,2.55,0.88,63,83,480,251
380,484,507,1089,0.89,2.61,0.87,44,89,507,258
400,600,538,1089,0.88,2.56,0.77,15,99,537,251
420,600,569,1089,0.96,2.92,0.96,11,92,569,320
440,600,615,1089,0.99,3.39,1.18,29,92,613,417
460,600,682,1089,0.99,3.87,1.37,10,92,678,535
480,600,757,1089,0.99,4.34,1.55,18,92,754,668
500,600,847,1089,0.99,4.76,1.83,12,92,847,794
